region_id,elevation_p10_m,elevation_p90_m,terrain_relief,dem_pixel_count,terrain_relief_source_type,terrain_relief_missing_reason
47280,117.66426086425781,685.1804809570312,567.5162200927734,112981,static_reference,
47290,52.84665870666504,400.93202209472656,348.0853633880615,50786,static_reference,
47730,67.26341323852539,351.8173400878906,284.5539268493652,144478,static_reference,
47750,247.8084259033203,579.6415405273438,331.83311462402344,104641,static_reference,
47760,270.30103759765626,664.135809326172,393.8347717285157,101248,static_reference,
47770,36.81675262451174,446.52150878906247,409.7047561645507,92034,static_reference,
47820,101.06556701660156,538.3635864257812,437.2980194091797,85651,static_reference,
47830,20.11354179382324,241.98854370117198,221.87500190734875,47754,static_reference,
47840,47.38035697937012,522.0197631835939,474.6394062042238,75682,static_reference,
47850,37.36392250061035,449.6642761230468,412.3003536224365,55590,static_reference,
47900,75.71343460083008,470.12652587890636,394.4130912780763,82048,static_reference,
47920,274.8657653808594,877.5652343749999,602.6994689941405,148437,static_reference,
47930,45.741263961791994,671.6509155273437,625.9096515655517,122774,static_reference,
47940,72.37246704101562,642.2886840820313,569.9162170410157,9129,static_reference,
48120,5.765007495880127,336.6576843261719,330.89267683029175,92976,static_reference,
48170,25.337956428527832,175.25208282470706,149.91412639617923,88050,static_reference,
48220,8.30435028076172,185.34289093017577,177.03854064941405,30918,static_reference,
48240,8.538634777069092,227.67764739990255,219.13901262283346,49584,static_reference,
48250,2.502026629447937,294.17981262207036,291.67778599262243,57042,static_reference,
48270,9.120153331756592,529.9251464843752,520.8049931526186,98990,static_reference,
48310,12.48808937072754,266.183514404297,253.69542503356945,50359,static_reference,
48330,39.40321846008301,588.3592590332032,548.9560405731202,60134,static_reference,
48720,21.042383575439455,351.19535522460944,330.15297164917,59494,static_reference,
48730,9.69123420715332,266.044863891602,256.35362968444866,51358,static_reference,
48740,11.345351409912109,341.84721069335944,330.50185928344735,65487,static_reference,
48820,14.494972896575929,294.08625183105465,279.59127893447874,64230,static_reference,
48840,13.026784420013428,335.04060974121103,322.0138253211976,44708,static_reference,
48850,21.808703422546387,775.593017578125,753.7843141555786,83566,static_reference,
48860,101.32969589233399,790.9744934082031,689.6447975158691,97758,static_reference,
48870,201.30925750732422,948.6634338378907,747.3541763305665,88998,static_reference,
48880,261.1449279785156,856.9114379882812,595.7665100097656,98741,static_reference,
48890,52.60840835571289,532.7634948730469,480.155086517334,121518,static_reference,
50110,23.631129837036134,703.6489746093749,680.0178447723388,121349,static_reference,
50130,23.224510574340822,698.9061035156247,675.681592941284,108719,static_reference,
51110,100.03785705566406,534.6710510253906,434.63319396972656,137726,static_reference,
51130,100.7474136352539,621.6194458007812,520.8720321655273,107021,static_reference,
51150,22.607676315307618,828.9122375488281,806.3045612335205,128580,static_reference,
51170,18.33032341003418,658.3463378906253,640.016014480591,22385,static_reference,
51190,690.9857971191407,1137.0492065429685,446.0634094238278,37490,static_reference,
51210,12.282682418823244,918.7059936523438,906.4233112335205,13057,static_reference,
51230,84.75979614257812,914.47177734375,829.7119812011719,146787,static_reference,
51720,192.81329345703125,881.675048828125,688.8617553710938,224401,static_reference,
51730,189.42550659179688,709.7022705078125,520.2767639160156,123226,static_reference,
51750,262.31630859375,878.06845703125,615.7521484375,139214,static_reference,
51760,476.5063812255859,1039.6600585937501,563.1536773681642,180758,static_reference,
51770,433.0397644042969,1000.9548706054688,567.915106201172,150545,static_reference,
51780,191.48639068603515,646.5341491699219,455.0477584838867,109910,static_reference,
51790,199.13453674316406,759.4501342773438,560.3155975341797,112046,static_reference,
51800,243.17242736816405,799.8081115722657,556.6356842041016,81652,static_reference,
51810,340.165283203125,963.0508972167969,622.8856140136719,202710,static_reference,
51820,19.472813415527344,687.9360595703126,668.4632461547853,81605,static_reference,
51830,28.95948066711427,830.4387939453129,801.4793132781987,77878,static_reference,
52110,11.641586494445802,195.15705566406254,183.51546916961675,25367,static_reference,
52130,2.5200459957122803,36.782912445068376,34.262866449356096,51899,static_reference,
52140,4.580332279205322,72.65160675048836,68.07127447128303,62639,static_reference,
52180,7.559950828552246,305.7608795166017,298.20092868804943,86168,static_reference,
52190,96.44194793701172,786.0526733398438,689.610725402832,92643,static_reference,
52210,3.4239944696426394,101.16903228759769,97.74503781795505,67188,static_reference,
52710,34.356493377685545,414.72714843750003,380.3706550598145,101508,static_reference,
52720,281.7587554931641,639.8180969238282,358.0593414306641,97418,static_reference,
52730,272.706396484375,936.9169799804691,664.2105834960942,77787,static_reference,
